RENDERING NPI,PROVIDER LEGAL NAME,CALENDAR YEAR,DELIVERY SYSTEM,PROVIDER TYPE,AGE GROUP,ADV USER CNT,ADV USER ANNOTATION CODE,ADV SVC CNT,ADV  SVC ANNOTATION CODE,PREV USER CNT,PREV USER ANNOTATION CODE,PREV SVC CNT,PREV SVC ANNOTATION CODE,TXMT USER CNT,TXMT USER ANNOTATION CODE,TXMT SVC CNT,TXMT SVC ANNOTATION CODE,EXAM USER CNT,EXAM USER ANNOTATION CODE,EXAM SVC CNT,EXAM SVC ANNOTATION CODE
1003212333,KHOSHSAR RAMIN,2021,FFS,RENDERING,AGE 21+,276,,"2,031",,124,,232,,152,,746,,218,,218,
1003222753,YHIP JANETTE P,2021,FFS,RENDERING,AGE 0-20,53,,198,,0,,0,,46,,134,,0,,0,
1003224023,MORETT MARTHA E,2021,FFS,RENDERING,AGE 0-20,34,,279,,29,,110,,13,,52,,27,,32,
1003224023,MORETT MARTHA E,2021,FFS,RENDERING,AGE 21+,96,,488,,32,,39,,57,,221,,72,,72,
1003235631,LE NICK L,2021,FFS,RENDERING,AGE 0-20,826,,"10,180",,666,,"1,910",,357,,"1,437",,663,,798,
1003235631,LE NICK L,2021,FFS,RENDERING,AGE 21+,184,,"1,752",,113,,239,,115,,572,,154,,165,
1003236886,COMBS JORDAN D,2021,FFS,RENDERING,AGE 21+,,1,,1,0,,0,,,1,,1,0,,0,
1003240680,NAJI PEGAH,2021,FFS,RENDERING,AGE 0-20,327,,"2,546",,255,,820,,125,,334,,265,,283,
1003240680,NAJI PEGAH,2021,FFS,RENDERING,AGE 21+,293,,"1,291",,92,,154,,160,,404,,161,,161,
1003240680,NAJI PEGAH,2021,PHP,RENDERING,AGE 21+,,1,,1,0,,0,,0,,0,,,1,,1
1003253576,METRIKINA MARGARITA,2021,FFS,RENDERING,AGE 0-20,17,,90,,14,,43,,,1,,1,15,,16,
1003253576,METRIKINA MARGARITA,2021,FFS,RENDERING,AGE 21+,270,,"2,316",,177,,352,,218,,"1,082",,219,,219,
1003254137,"YANG, JOSEPH MD",2021,FFS,RENDERING,AGE 21+,,1,,2,0,,0,,,1,,2,0,,0,
1003257536,PLEITEZ ERIK I,2021,FFS,RENDERING,AGE 0-20,11,,54,,,1,,2,,1,,1,,1,,1
1003257536,PLEITEZ ERIK I,2021,FFS,RENDERING,AGE 21+,58,,279,,15,,16,,42,,127,,38,,38,
1003269671,RAFI AMANDA,2021,FFS,RENDERING,AGE 0-20,465,,"6,551",,432,,"1,928",,333,,"1,310",,449,,613,
1003269671,RAFI AMANDA,2021,FFS,RENDERING,AGE 21+,369,,"3,222",,239,,464,,275,,"1,566",,307,,307,
1003303140,HUANG LI HONG,2021,FFS,RENDERING,AGE 0-20,"2,234",,"17,752",,"1,711",,"4,708",,"1,292",,"2,757",,"1,570",,"1,746",
1003343708,MOORE YOUNAN ARLENE TEANA ZAKIA,2021,FFS,RENDERING,AGE 21+,,1,,1,0,,0,,,1,,1,,1,,1
1003369075,SHAHHAL SAMI I,2021,FFS,RENDERING,AGE 0-20,,1,,1,0,,0,,,1,,1,0,,0,
1003369075,SHAHHAL SAMI I,2021,FFS,RENDERING,AGE 21+,32,,129,,,1,,1,30,,122,,,1,,1
1003378365,RAZANI NADIA,2021,FFS,RENDERING,AGE 0-20,"1,655",,"9,439",,"1,304",,"3,402",,881,,"1,850",,"1,219",,"1,289",
1003378365,RAZANI NADIA,2021,FFS,RENDERING,AGE 21+,122,,281,,37,,41,,83,,128,,0,,0,
1003392499,SHERGILL NAVNEET,2021,FFS,RENDERING,AGE 0-20,"2,688",,"22,327",,"2,016",,"5,560",,"1,314",,"3,490",,"1,942",,"2,068",
1003392499,SHERGILL NAVNEET,2021,FFS,RENDERING,AGE 21+,17,,85,,,1,,1,,1,,2,,1,,1
